# bundle de producao — 2026-09-08T22:01:03Z — 47ecf10 — v24.18.0
# comando: npm run build (com .env real, VITE_AUTH_REQUIRED=1) && node scripts/perf/medir-rotas.mjs


## Build (gzip, como viaja)

  155.2 KB gz |   526.5 KB | mtWorker-DRccAgFm.js
  155.2 KB gz |     527 KB | whisperWorker-27Pyj50c.js
  143.7 KB gz |   492.6 KB | speakerIdWorker-Bk-OMv8R.js
  132.2 KB gz |   466.3 KB | Play-Dvzmexhu.js
  124.3 KB gz |   373.7 KB | index-DxZeKhPC.js
  117.1 KB gz |   424.1 KB | index-ChfHK5QT.js
  103.3 KB gz |   348.7 KB | AreaChart-C2tZrc6G.js
   59.3 KB gz |   189.8 KB | vendor-react-DS6WwmKU.js
     59 KB gz |     225 KB | Analysis-qWA3lfyS.js
   56.1 KB gz |   214.4 KB | vendor-supabase-CkQoDE4Q.js
   51.4 KB gz |   166.7 KB | LiveCapture-B6KaFuew.js
   26.4 KB gz |   179.4 KB | index-Bksh7wXi.css

arranque (index + vendors): 210 KB gz
todos os assets:            1659.5 KB gz

(sem --api=<url>: só o build foi medido)

## todos os chunks (KB gz | KB | arquivo)
  155.2 |   526.5 | mtWorker-DRccAgFm.js
  155.2 |   527.0 | whisperWorker-27Pyj50c.js
  143.7 |   492.6 | speakerIdWorker-Bk-OMv8R.js
  132.2 |   466.3 | Play-Dvzmexhu.js
  124.3 |   373.7 | index-DxZeKhPC.js
  117.1 |   424.1 | index-ChfHK5QT.js
  103.3 |   348.7 | AreaChart-C2tZrc6G.js
   59.3 |   189.8 | vendor-react-DS6WwmKU.js
   59.0 |   225.0 | Analysis-qWA3lfyS.js
   56.1 |   214.4 | vendor-supabase-CkQoDE4Q.js
   51.4 |   166.7 | LiveCapture-B6KaFuew.js
   26.4 |   179.4 | index-Bksh7wXi.css
   25.9 |   122.5 | ko-Buj3nMbv.js
   25.4 |    47.3 | ja-BeFtFvoC.js
   24.9 |    81.7 | ru-DEVrEv6b.js
   22.6 |    87.3 | Loja-DEeRaSsX.js
   21.1 |    47.1 | tr-dX4kNy4o.js
   20.9 |    44.4 | nl-CaBGTrSB.js
   20.5 |    46.2 | it-CsmQu328.js
   20.3 |    44.6 | de-2TjcJrE-.js
   20.3 |    68.3 | Metrics-DQdyOnwd.js
   20.2 |    43.8 | es-C9RS3zcm.js
   20.1 |    43.9 | fr-K0nM1Qgh.js
   20.1 |    34.2 | zh-ymJmy15H.js
   19.8 |    44.5 | pl-N67ze2Lh.js
   19.4 |    57.0 | he-D7vkAKAZ.js
   19.2 |    56.4 | ar-ChNWCKcZ.js
   18.5 |    40.0 | sv-DfOBG5SL.js
   15.0 |    55.1 | hi-BQMwzInZ.js
   11.7 |    38.0 | Library-cWZ4Tb7d.js
   11.4 |    33.1 | IChat-CGdtRf93.js
