origem,destino,dominio,camada,acao,observacao
src/App.tsx,,app,ui,dividir,ARQUIVO-DEUS (1030 linhas). Saem: 1-79 imports+telas lazy -> src/app/rotas.tsx; 108-141 sessao Supabase/identidade -> dominios/auth/estado/usarSessaoSupabase.ts; 143-177 acesso sem conta+gate+migracao -> dominios/conta/estado/usarGateDeConta.ts; 179-384 tema/fonte/escala/som/animacoes/desempenho/posicao-do-menu/perfil-de-idade -> dominios/personalizacao/estado/usarAparencia.ts; 386-390 entitlements -> dominios/economia/estado; 403-446 metricas/recordes/progresso -> dominios/estatisticas/estado/usarMetricas.ts; 448-546 conquistas/recompensas/drops/loja/equipar -> dominios/economia/estado/usarRecompensas.ts; 547-570 hidratacao das settings de UI -> dominios/personalizacao/estado; 571-700 navegacao/URL/sessoes -> src/app/usarNavegacao.ts; 763-1030 casca e render FICAM em src/app/App.tsx
src/components/BuscaGlobal.tsx,src/app/BuscaGlobal.tsx,app,ui,mover,"Busca de qualquer tela: atravessa sessao e vocabulario, nao pertence a nenhum"
src/components/StudioHeader.tsx,src/app/StudioHeader.tsx,app,ui,mover,Cabecalho da casca
src/components/shell/ControlCluster.tsx,src/app/casca/ControlCluster.tsx,app,ui,mover,Casca de navegacao
src/components/shell/MenuDaConta.tsx,src/app/casca/MenuDaConta.tsx,app,ui,mover,Casca de navegacao
src/components/shell/MenuDeConforto.tsx,src/app/casca/MenuDeConforto.tsx,app,ui,mover,Casca de navegacao
src/components/shell/MobileNav.tsx,src/app/casca/MobileNav.tsx,app,ui,mover,Casca de navegacao
src/components/shell/MobileTopBar.tsx,src/app/casca/MobileTopBar.tsx,app,ui,mover,Casca de navegacao
src/components/shell/NavBar.tsx,src/app/casca/NavBar.tsx,app,ui,mover,Casca de navegacao
src/components/shell/NavRail.tsx,src/app/casca/NavRail.tsx,app,ui,mover,Casca de navegacao
src/components/shell/ShellBits.tsx,src/app/casca/ShellBits.tsx,app,ui,mover,Casca de navegacao
src/components/shell/navItems.ts,src/app/casca/navItems.ts,app,ui,mover,Casca de navegacao
src/components/views/Hub.tsx,src/app/Hub.tsx,app,ui,mover,Tela inicial: agrega todos os dominios
src/components/views/Sobre.tsx,src/app/Sobre.tsx,app,ui,mover,
src/index.css,src/app/index.css,app,ui,mover,
src/lib/criador.ts,src/app/criador.ts,app,dados,mover,Fonte unica dos dados do criador (onboarding e tela Sobre)
src/lib/navGuard.ts,src/app/navGuard.ts,app,estado,mover,
src/lib/rotas.ts,src/app/rotas.ts,app,estado,mover,Leitura e escrita da URL da casca
src/main.tsx,src/app/main.tsx,app,ui,mover,Ponto de entrada; index.html aponta para ele e precisa ser atualizado no mesmo commit
src/types.ts,src/app/types.ts,app,,mover,Contratos de UI compartilhados (42 importadores); alias @/types se mantem
server/db/repositories/tenancy.ts,server/dominios/auth/repositorio/tenancy.ts,auth,repositorio,mover,
server/db/repositories/users.ts,server/dominios/auth/repositorio/users.ts,auth,repositorio,mover,
server/lib/auth.ts,server/dominios/auth/servico/auth.ts,auth,servico,mover,
server/lib/authContext.ts,server/dominios/auth/servico/authContext.ts,auth,servico,mover,
server/lib/rbac.ts,server/dominios/auth/servico/rbac.ts,auth,servico,mover,
src/components/Login.tsx,src/dominios/auth/ui/Login.tsx,auth,ui,mover,
